staff_ID,pilot_staff,week_date,month_date,week_num,month_num,month_name,pilot_staff_wk_compl,pilot_staff_mo_compl,staff_wk_compl,staff_mo_compl
2,Pilot,2025-03-03,2025-03-01,9,3,Mar,79.66101694915254,82.62411347517731,80,86.95652173913044
2,Pilot,2025-03-10,2025-03-01,10,3,Mar,82.6086956521739,82.62411347517731,100,86.95652173913044
2,Pilot,2025-03-17,2025-03-01,11,3,Mar,78.78787878787878,82.62411347517731,80,86.95652173913044
2,Pilot,2025-03-24,2025-03-01,12,3,Mar,90.27777777777779,82.62411347517731,100,86.95652173913044
2,Pilot,2025-03-31,2025-03-01,13,3,Mar,75.92592592592592,82.62411347517731,50,86.95652173913044
2,Pilot,2025-03-31,2025-04-01,13,4,Apr,75.92592592592592,83.76383763837639,50,88.88888888888889
2,Pilot,2025-04-07,2025-04-01,14,4,Apr,82.6923076923077,83.76383763837639,100,88.88888888888889
2,Pilot,2025-04-14,2025-04-01,15,4,Apr,87.2340425531915,83.76383763837639,100,88.88888888888889
2,Pilot,2025-04-21,2025-04-01,16,4,Apr,86.58536585365853,83.76383763837639,100,88.88888888888889
2,Pilot,2025-04-28,2025-04-01,17,4,Apr,84.93150684931507,83.76383763837639,100,88.88888888888889
2,Pilot,2025-04-28,2025-05-01,17,5,May,84.93150684931507,83.88059701492537,100,91.66666666666666
2,Pilot,2025-05-05,2025-05-01,18,5,May,86.04651162790698,83.88059701492537,100,91.66666666666666
2,Pilot,2025-05-19,2025-05-01,20,5,May,90,83.88059701492537,100,91.66666666666666
2,Pilot,2025-05-26,2025-05-01,21,5,May,78.46153846153847,83.88059701492537,50,91.66666666666666
3,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.67816091954023,82.44186046511628,81.81818181818183,75.60975609756098
3,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,82.46575342465754,82.44186046511628,50,75.60975609756098
3,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.55528255528255,82.44186046511628,75,75.60975609756098
3,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.29496402877699,82.44186046511628,100,75.60975609756098
3,Non-Pilot,2025-03-31,2025-03-01,13,3,Mar,81.75824175824175,82.44186046511628,72.72727272727273,75.60975609756098
3,Non-Pilot,2025-03-31,2025-04-01,13,4,Apr,81.75824175824175,81.87435633367663,72.72727272727273,91.66666666666666
3,Non-Pilot,2025-04-07,2025-04-01,14,4,Apr,85.1063829787234,81.87435633367663,100,91.66666666666666
3,Non-Pilot,2025-04-14,2025-04-01,15,4,Apr,79.21052631578948,81.87435633367663,100,91.66666666666666
3,Non-Pilot,2025-04-21,2025-04-01,16,4,Apr,83.22147651006712,81.87435633367663,87.5,91.66666666666666
3,Non-Pilot,2025-04-28,2025-04-01,17,4,Apr,79.96031746031747,81.87435633367663,84.21052631578947,91.66666666666666
3,Non-Pilot,2025-04-28,2025-05-01,17,5,May,79.96031746031747,80.59415428845233,84.21052631578947,83.6734693877551
3,Non-Pilot,2025-05-05,2025-05-01,18,5,May,81.0909090909091,80.59415428845233,78.57142857142857,83.6734693877551
3,Non-Pilot,2025-05-12,2025-05-01,19,5,May,80.80357142857143,80.59415428845233,75,83.6734693877551
3,Non-Pilot,2025-05-19,2025-05-01,20,5,May,79.32405566600397,80.59415428845233,83.33333333333334,83.6734693877551
